"1.00000000e+00 1.00825000e+00 1.02579000e+00 1.05238000e+00
 1.08763000e+00 1.13101000e+00 1.18173000e+00 1.23889000e+00
 1.30154000e+00 1.36880000e+00 1.43987000e+00 1.51413000e+00
 1.59106000e+00 1.67025000e+00 1.75142000e+00 1.83434000e+00
 1.91885000e+00 2.00485000e+00 2.09226000e+00 2.18102000e+00
 2.27109000e+00 2.36243000e+00 2.45500000e+00 2.54875000e+00
 2.64362000e+00 2.73956000e+00 2.83648000e+00 2.93429000e+00
 3.03291000e+00 3.13223000e+00 3.23214000e+00 3.33253000e+00
 3.43326000e+00 3.53423000e+00 3.63529000e+00 3.73630000e+00
 3.83712000e+00 3.93759000e+00 4.03758000e+00 4.13692000e+00
 4.23546000e+00 4.33305000e+00 4.42954000e+00 4.52479000e+00
 4.61865000e+00 4.71100000e+00 4.80172000e+00 4.89071000e+00
 4.97786000e+00 5.06312000e+00 5.14646000e+00 5.22789000e+00
 5.30751000e+00 5.38554000e+00 5.46242000e+00 5.53881000e+00
 5.61563000e+00 5.69380000e+00 5.77380000e+00 5.85559000e+00
 5.93880000e+00 6.02294000e+00 6.10754000e+00 6.19220000e+00
 6.27655000e+00 6.36031000e+00 6.44323000e+00 6.52512000e+00
 6.60586000e+00 6.68539000e+00 6.76374000e+00 6.84109000e+00
 6.91781000e+00 6.99452000e+00 7.07196000e+00 7.15081000e+00
 7.23134000e+00 7.31339000e+00 7.39659000e+00 7.48048000e+00
 7.56467000e+00 7.64878000e+00 7.73253000e+00 7.81568000e+00
 7.89801000e+00 7.97939000e+00 8.05970000e+00 8.13887000e+00
 8.21689000e+00 8.29378000e+00 8.36966000e+00 8.44470000e+00
 8.51925000e+00 8.59383000e+00 8.66938000e+00 8.74771000e+00
 8.83382000e+00 8.93335000e+00 9.03469000e+00 9.13383000e+00
 9.23018000e+00 9.32356000e+00 9.41395000e+00 9.50144000e+00
 9.58631000e+00 9.66901000e+00 9.75017000e+00 9.83045000e+00
 9.91030000e+00 9.98983000e+00 1.00689100e+01 1.01473500e+01
 1.02250000e+01 1.03018500e+01 1.03780400e+01 1.04539200e+01
 1.05301800e+01 1.06079800e+01 1.06893800e+01 1.07783000e+01
 1.08812300e+01 1.09951600e+01 1.11093400e+01 1.12200400e+01
 1.13261100e+01 1.14270000e+01 1.15224100e+01 1.16121500e+01
 1.16961200e+01 1.17743200e+01 1.18468300e+01 1.19138500e+01
 1.19757100e+01 1.20329000e+01 1.20860900e+01 1.21361300e+01
 1.21840500e+01 1.22309300e+01 1.22778400e+01 1.23256500e+01
 1.23749000e+01 1.24258300e+01 1.24783900e+01 1.25323300e+01
 1.25873200e+01 1.26430300e+01 1.26991800e+01 1.27556300e+01
 1.28123900e+01 1.28697300e+01 1.29282800e+01 1.29894500e+01
 1.30552600e+01 1.31259000e+01 1.32025100e+01 1.32873400e+01
 1.33833100e+01 1.34923400e+01 1.36129300e+01 1.37415400e+01
 1.38754000e+01 1.40125500e+01 1.41511800e+01 1.42893200e+01
 1.44250300e+01 1.45565500e+01 1.46824900e+01 1.48018600e+01
 1.49140300e+01 1.50187300e+01 1.51159400e+01 1.52058500e+01
 1.52887100e+01 1.53647600e+01 1.54341400e+01 1.54969600e+01
 1.55532300e+01 1.56030100e+01 1.56465400e+01 1.56844100e+01
 1.57174400e+01 1.57462100e+01 1.57708100e+01 1.57912300e+01
 1.58080400e+01 1.58238600e+01 1.58402800e+01 1.58558300e+01
 1.58707800e+01 1.58860000e+01 1.59023600e+01 1.59202200e+01
 1.59388700e+01 1.59564000e+01 1.59700400e+01 1.59769600e+01
 1.59751700e+01 1.59646600e+01 1.59505100e+01 1.59508200e+01
 1.59955100e+01 1.60986200e+01 1.62506800e+01 1.64259000e+01
 1.66134800e+01 1.68105500e+01 1.70175600e+01 1.72369500e+01
 1.74715800e+01 1.77218500e+01 1.79829800e+01 1.82463900e+01
 1.85032800e+01 1.87461800e+01 1.89685100e+01 1.91638800e+01
 1.93260800e+01 1.94494200e+01 1.95290300e+01 1.95609200e+01
 1.95419500e+01 1.94695500e+01 1.93422600e+01 1.91610900e+01
 1.89329700e+01 1.86832700e+01 1.84450000e+01 1.82195200e+01
 1.80166200e+01 1.78724000e+01 1.78834100e+01 1.81476500e+01
 1.87322300e+01 1.99906800e+01 2.21559900e+01 2.49827400e+01
 2.81806500e+01 3.17045100e+01 3.55517700e+01 3.97309600e+01
 4.42553600e+01 4.91408900e+01 5.44053400e+01 6.00679100e+01
 6.61490200e+01 7.26702300e+01 7.96541900e+01 8.71245900e+01
 9.51061700e+01 1.03624730e+02 1.12707150e+02 1.22381410e+02
 1.32676590e+02 1.43622930e+02 1.55251840e+02 1.67595930e+02
 1.80689050e+02 1.94566320e+02 2.09264150e+02 2.24820320e+02
 2.41273960e+02 2.58665630e+02 2.77037330e+02 2.96432560e+02
 3.16896370e+02 3.38475360e+02 3.61217760e+02 3.85173480e+02
 4.10394100e+02 4.36932990e+02 4.64845300e+02 4.94188010e+02
 5.25020060e+02 5.57402270e+02 5.91397400e+02 6.27070430e+02
 6.64488400e+02 7.03720270e+02 7.44837340e+02 7.87913520e+02
 8.33024660e+02 8.80248720e+02 9.29666490e+02 9.81361780e+02
 1.03542016e+03 1.09192943e+03 1.15098076e+03 1.21266902e+03"
"1.01153000e+00 1.01973000e+00 1.03701000e+00 1.06313000e+00
 1.09774000e+00 1.14034000e+00 1.19023000e+00 1.24656000e+00
 1.30842000e+00 1.37493000e+00 1.44533000e+00 1.51897000e+00
