"1.00000000e+00 1.08763000e+00 1.30154000e+00 1.59106000e+00
   16.41078   16.76668   17.53601   18.63864   19.8922    21.16151
   22.07599   22.2819    21.53655   20.17819   19.64198   28.53329
   45.46788   68.50855   98.92074  138.30354  188.54324  251.83495
  330.71602  428.10486  547.34394  692.24678  867.1489  1076.96315"
"   1.95938    2.00562    2.11864    2.28815    2.49918    2.74065
    3.00559    3.28793    3.58074    3.87652    4.16705    4.44366
    4.69875    4.9309     5.16326    5.41934    5.68867    5.99634
    6.35291    6.72968    7.11279    7.50277    7.93797    8.48898
    9.03872    9.59237   10.19009   10.86357   11.55454   12.19962
   12.77244   13.25909   13.658     13.98608   14.27062   14.51911
   14.71779   14.85499   14.94076   15.04064   15.22131   15.43549
   15.63309   15.75675   15.86684   15.95046   16.00576   16.19689
   16.54789   16.98071   17.84993   19.01473   20.32301   21.6287
   22.56687   22.7848    22.032     20.60237   19.83763   28.41439
   45.43638   68.61235   99.20478  138.81931  189.35072  253.0039
  332.32726  430.25158  550.13316  695.80089  871.60742 1082.48451"
"   2.14265    2.18398    2.2861     2.44178    2.63815    2.86374
    3.1109     3.37411    3.64776    3.92486    4.19705    4.45554
    4.69312    4.91077    5.13651    5.38657    5.65839    5.98633
    6.35606    6.74263    7.13765    7.54955    8.05491    8.63473
    9.21436    9.81647   10.48655   11.21207   11.92067   12.57409
   13.15151   13.64127   14.04424   14.379     14.66888   14.91531
   15.10316   15.22143   15.27973   15.34099   15.47405   15.63669
   15.78774   15.88525   15.97956   16.04343   16.08928   16.3034
   16.69893   17.21182   18.17281   19.39755   20.75841   22.1011
   23.06585   23.29991   22.54478   21.04633   20.05371   28.24594
   45.33822   68.63323   99.38788  139.2138   190.01393  254.00267
  333.73917  432.16629  552.65383  699.04576  875.71143 1087.60118"
"   2.32667    2.36346    2.45602    2.59896    2.78139    2.99216
    3.22321    3.4688     3.72377    3.98182    4.23493    4.47449
    4.694      4.89829    5.11922    5.36555    5.65112    5.99966
    6.38168    6.77936    7.19009    7.63722    8.21372    8.82119
    9.43894   10.10299   10.8405    11.59591   12.31759   12.97821
   13.55975   14.05242   14.45945   14.80026   15.09362   15.33598
   15.51142   15.60949   15.63922   15.66047   15.74491   15.85521
   15.95835   16.03463   16.10769   16.14965   16.18467   16.42188
   16.86285   17.45698   18.50293   19.78579   21.1975    22.57808
   23.57239   23.82672   23.07461   21.51049   20.29321   28.02913
   45.17375   68.57144   99.47023  139.48713  190.53292  254.83121
  334.95161  433.84874  554.9056   701.98086  879.46026 1092.31232"
"   2.50983    2.54247    2.62662    2.75792    2.92713    3.12384
    3.33991    3.56929    3.80664    4.04589    4.27949    4.49946
    4.70071    4.8939     5.11182    5.36011    5.66988    6.03645
    6.43077    6.84188    7.27471    7.78777    8.413      9.05338
    9.72071   10.45446   11.23783   12.01322   12.74582   13.41286
   13.99812   14.49355   14.90456   15.25062   15.54564   15.78212
   15.94369   16.02033   16.02043   16.00036   16.03503   16.0923
   16.1474    16.2029    16.25092   16.26897   16.29147   16.55126
   17.03852   17.71348   18.83876   20.17823   21.63944   23.059
   24.08589   24.36471   23.62112   21.99529   20.55994   27.76564
   44.94346   68.42739   99.45218  139.63959  190.90793  255.48969
  335.96465  435.29891  556.88832  704.60593  882.8535  1096.61733"
"   2.69086    2.71981    2.79654    2.91729    3.07405    3.2573
    3.45911    3.67319    3.89383    4.11479    4.32888    4.529
    4.71257    4.89827    5.11551    5.37796    5.71463    6.09717
    6.50484    6.93329    7.40038    7.99717    8.65651    9.33828
   10.06709   10.85977   11.67269   12.46388   13.20614   13.87902
   14.46767   14.96574   15.3806    15.73094   16.02589   16.25481
   16.40115   16.45519   16.4246    16.362     16.34564   16.34942
   16.35838   16.38927   16.40922   16.40137   16.40927   16.69047
   17.22471   17.97894   19.17891   20.57378   22.08342   23.54318
   24.60574   24.91329   24.18385   22.5012    20.85889   27.4578
   44.648     68.20166   99.33421  139.67164  191.13934  255.97843
  336.77855  436.51697  558.60208  706.92094  885.89097 1100.5159 "
"   2.86877    2.89459    2.96479    3.07597    3.22102    3.39135
    3.57934    3.77856    3.98293    4.18597    4.38073    4.56127
    4.72917    4.91204    5.13398    5.4249     5.7849     6.18276
    6.60618    7.05872    7.58895    8.25264    8.95012    9.684
   10.47511   11.3086    12.14357   12.94845   13.69953   14.37777
   14.96954   15.47015   15.88862   16.24219   16.53539   16.75523
   16.88506   16.91538   16.85305   16.74678   16.67807   16.6282
   16.59316   16.59363   16.58273   16.54696   16.53778   16.83847
   17.42007   18.25126   19.52212   20.9714    22.52869   24.02997
   25.13128   25.47182   24.76227   23.02873   21.19833   27.10887
   44.28815   67.89493   99.11699  139.58388  191.22772  256.29795
  337.39378  437.50331  560.04716  708.92608  888.57278 1104.008  "
"   3.04282    3.06612    3.1306     3.23303    3.36705    3.52488
    3.69927    3.8837     4.07183    4.257      4.43263    4.59445
    4.75101    4.93642    5.17653    5.50074    5.88075    6.29489
    6.73844    7.22811    7.85042    8.55733    9.3014    10.09361
   10.93394   11.797     12.6505    13.46782   14.22709   14.91031
   15.50497   16.008     16.42976   16.78542   17.07532   17.28465
   17.39677   17.40226   17.30717   17.15622   17.03376   16.93059
   16.8518    16.81623   16.77174   16.70596   16.67682   16.99424
   17.62322   18.5286    19.86721   21.37018   22.97451   24.51868
   25.66181   26.03962   25.35578   23.57845   21.58519   26.7235
   43.86488   67.50806   98.8013   139.37706  191.1738   256.44895
  337.81096  438.25851  561.22409  710.6218   890.89926 1107.09387"
"   3.21236    3.23377    3.2932     3.38755    3.51105    3.65666
    3.81748    3.98697    4.1586     4.32576    4.48254    4.62757
    4.77995    4.97585    5.25136    5.60415    6.00312    6.43635
    6.90796    7.46527    8.16603    8.91783    9.71596   10.55996
   11.43685   12.32404   13.19416   14.02308   14.79006   15.47794
   16.07526   16.58061   17.00523   17.36181   17.64694   17.84443
   17.93767   17.91727   17.78842   17.59187   17.41428   17.25865
   17.13441   17.05761   16.97671   16.87872   16.82641   17.15684
   17.83276   18.80932   20.21306   21.76924   23.42018   25.00861
   26.19659   26.61599   25.96359   24.15092   22.01399   26.30841
   43.3793    67.04201   98.38806  139.05209  190.97847  256.43227
  338.03094  438.78336  562.1336   712.00875  892.871   1109.77397"
"   3.37682    3.39683    3.45172    3.53846    3.6518     3.7853
    3.93241    4.08662    4.24139    4.3904     4.52902    4.66153
    4.81934    5.04262    5.35789    5.73502    6.15417    6.61196
    7.12743    7.7847     8.53738    9.34062   10.19078   11.07499
   11.9815    12.89001   13.77557   14.6155    15.3898    16.08204
   16.68184   17.18935   17.61632   17.97263   18.2516    18.436
   18.50925   18.46189   18.29831   18.05537   17.82136   17.61417
   17.44149   17.31853   17.19822   17.06576   16.98673   17.32537
   18.04729   19.09192   20.55864   22.16771   23.86502   25.49905
   26.73486   27.20016   26.58484   24.74659   22.48226   25.87331
   42.83271   66.49785   97.87836  138.61004  190.64277  256.24896
  338.05472  439.07885  562.77664  713.08783  894.4888  1112.04904"
"   3.53549    3.55442    3.60505    3.68445    3.78779    3.90916
    4.0423     4.18084    4.31844    4.44943    4.57181    4.70049
    4.87748    5.146      5.49442    5.89488    6.33795    6.83049
    7.42582    8.16657    8.97051    9.82569   10.71804   11.63504
   12.56759   13.49577   14.396     15.24646   16.02776   16.72409
   17.32618   17.83567   18.26439   18.61924   18.89074   19.06086
   19.11302   19.03769   18.83841   18.54844   18.25688   17.99836
   17.77389   17.59998   17.43697   17.2676    17.15808   17.49901
   18.26548   19.37505   20.90295   22.56476   24.30834   25.98929
   27.27581   27.79132   27.2186    25.36574   22.98811   25.43152
   42.22655   65.87679   97.27339  138.05209  190.16789  255.9002
  337.88348  439.14613  563.15433  713.86013  895.75373 1113.92008"
"   3.68747    3.70538    3.75183    3.82395    3.9173     4.02639
    4.14528    4.26784    4.38819    4.50208    4.61327    4.75259
    4.97122    5.28438    5.66147    6.08724    6.56157    7.11019
    7.81299    8.61121    9.46717   10.36645   11.29308   12.23918
   13.19572   14.14252   15.05686   15.9175    16.7055    17.40566
   18.00986   18.52111   18.9509    19.30313   19.56591   19.7206
   19.75061   19.64626   19.41036   19.0729    18.72283   18.41208
   18.13263   17.90311   17.6938    17.48483   17.34088   17.67704
   18.48607   19.65744   21.24506   22.95958   24.74952   26.4786
   27.81863   28.38865   27.86394   26.00839   23.52963   24.99934
   41.56248   65.18018   96.5745   137.37958  189.55519  255.38736
  337.5186   438.98658  563.26804  714.327    896.66709 1115.38834"
"   3.83149    3.84826    3.89041    3.95519    4.03844    4.13508
    4.23949    4.34598    4.44961    4.54931    4.66123    4.83425
    5.107      5.45654    5.86203    6.31845    6.83829    7.4856
    8.26918    9.1205    10.02214   10.95752   11.91449   12.88777
   13.86698   14.83169   15.75973   16.63025   17.42466   18.12842
   18.73453   19.24725   19.67738   20.02584   20.27872   20.41686
   20.42365   20.28929   20.01585   19.63065   19.22119   18.85619
   18.51886   18.22925   17.96969   17.71811   17.53575   17.85889
   18.70791   19.93796   21.58405   23.35144   25.18791   26.96628
   28.36247   28.99126   28.51989   26.67444   24.10474   24.59413
   40.84237   64.40949   95.78313  136.59399  188.80614  254.71195
  336.9616   438.60171  563.1193   714.48995  897.23038 1116.45528"
"   3.96599    3.98135    4.01899    4.07626    4.1493     4.23336
    4.32328    4.41414    4.50304    4.59674    4.73259    4.96319
    5.28202    5.6646     6.10202    6.59969    7.19638    7.95111
    8.79189    9.69015   10.62985   11.59696   12.58249   13.58178
   14.58279   15.56491   16.50631   17.38643   18.18699   18.8941
   19.5019    20.01578   20.44546   20.78902   21.03084   21.15134
   21.13389   20.96849   20.65661   20.22347   19.75391   19.33166
   18.93382   18.5799    18.26575   17.96826   17.74345   18.04414
   18.92994   20.21553   21.91904   23.7396    25.62293   27.45158
   28.90646   29.59823   29.18546   27.36421   24.71129   24.23564
   40.06833   63.56633   94.90086  135.69691  187.9224   253.87563
  336.21417  437.99328  562.70985  714.35073  897.44532 1117.12262"
"   4.0892     4.10283    4.13572    4.18533    4.24808    4.31965
    4.39556    4.47247    4.55266    4.66104    4.85252    5.13919
    5.49701    5.91417    6.39172    6.95238    7.66378    8.4877
    9.37674   10.31472   11.28794   12.28483   13.29808   14.32256
   15.34476   16.34392   17.29842   18.18788   18.99433   19.70453
   20.3138    20.82843   21.25684   21.5944    21.82404   21.92584
   21.88309   21.68564   21.33446   20.8531    20.32282   19.83962
   19.37881   18.95668   18.58324   18.23624   17.96491   18.23257
   19.15122   20.48917   22.24919   24.12335   26.05399   27.93382
   29.44972   30.20863   29.85962   28.07641   25.34713   23.96785
   39.24277   62.65243   93.92937  134.69006  186.90572  252.88023
  335.27817  437.16315  562.04161  713.91127  897.31389 1117.39232"
"   4.19928    4.21089    4.23885    4.28077    4.33342    4.3931
    4.4567     4.52483    4.61393    4.77312    5.0286     5.3611
    5.75717    6.21518    6.74915    7.41399    8.21407    9.08827
   10.01834   10.99162   11.9963    13.02215   14.06265   15.11176
   16.1547    17.17061   18.13797   19.03652   19.8486    20.56162
   21.1721    21.68703   22.1133    22.44378   22.66014   22.74218
   22.67309   22.44259   22.05124   21.52137   20.92971   20.38138
   19.85519   19.36132   18.92357   18.52311   18.20126   18.42421
   19.37091   20.75799   22.57367   24.50199   26.48051   28.41227
   29.99136   30.82146   30.54132   28.80781   26.01023   23.96851
   38.36847   61.66966   92.87048  133.57532  185.75804  251.7277
  334.15563  436.11341  561.11668  713.17374  896.83826 1117.2666 "
"   4.29468    4.30409    4.32711    4.36163    4.40496    4.45472
    4.51126    4.58675    4.72238    4.95048    5.25862    5.63363
    6.07237    6.58389    7.20774    7.97679    8.83092    9.74722
   10.7141    11.72063   12.75593   13.81043   14.87791   15.95121
   17.01457   18.04698   19.02698   19.93438   20.7518    21.46736
   22.07874   22.59348   23.01672   23.33904   23.54105   23.60226
   23.50578   23.24122   22.80884   22.23006   21.57632   20.95846
   20.36435   19.79558   19.28831   18.83006   18.45378   18.61944
   19.58833   21.02119   22.89166   24.87484   26.90187   28.88625
   30.53049   31.43571   31.2295    29.55613   26.69887   24.17125
   37.44872   60.62      91.7261   132.35466  184.48137  250.42014
  332.84871  434.84627  559.93737  712.14047  896.02082 1116.74785"
"   4.37466    4.38191    4.40043    4.42866    4.46523    4.51118
    4.57744    4.69851    4.90541    5.19184    5.54671    5.96655
    6.45751    7.04801    7.7812     8.61049    9.50771   10.46203
   11.46379   12.50276   13.5684    14.6515    15.74575   16.84291
   17.92643   18.97514   19.96756   20.88356   21.70602   22.42381
   23.03577   23.54973   23.96904   24.28215   24.46873   24.50805
   24.38312   24.08346   23.60918   22.98098   22.26438   21.57257
   20.90777   20.2613    19.67918   19.15844   18.72397   18.81906
   19.8029    21.27805   23.20236   25.2412    27.31749   29.35508
   31.06622   32.05033   31.92305   30.31953   27.41184   24.47469
   36.48748   59.50558   90.4983   131.03018  183.07787  248.9598
  331.35973  433.36413  558.50614  710.81399  894.86411 1115.83866"
"   4.44098    4.44661    4.46225    4.48781    4.52578    4.58776
    4.70295    4.89593    5.16443    5.50068    5.90192    6.37286
    6.93537    7.632      8.4324     9.30581   10.24197   11.23255
   12.26847   13.33965   14.43565   15.54737   16.66824   17.78901
   18.89247   19.95729   20.96192   21.88625   22.71344   23.43312
   24.04527   24.55785   24.97229   25.27513   25.44522   25.46156
   25.30711   24.97131   24.45422   23.77591   22.99564   22.22564
   21.48696   20.76027   20.09808   19.5097    19.01361   19.0244
   20.01418   21.52793   23.50501   25.6004    27.72681   29.81813
   31.59768   32.66424   32.62086   31.09599   28.14866   24.87129
   35.48972   58.32868   89.1892   129.60409  181.54983  247.34904
  329.69114  431.66957  556.82562  709.19699  893.37096 1114.54194"
"   4.50449    4.51008    4.52813    4.56295    4.62724    4.74386
    4.92894    5.18271    5.50125    5.88337    6.33376    6.87106
    7.53323    8.30169    9.14718   10.06019   11.03369   12.05991
   13.12983   14.2333    15.35982   16.50023   17.6476    18.79177
   19.915     20.99574   22.01235   22.94471   23.7763    24.49751
   25.10942   25.61993   26.02856   26.32008   26.47259   26.46488
   26.27981   25.90679   25.34595   24.61664   23.77189   22.91988
   22.10352   21.29431   20.54704   19.88546   19.3239    19.23744
   20.22189   21.7703    23.79883   25.95173   28.12928   30.27481
   32.12401   33.27634   33.3218    31.88341   28.90984   25.37672
   34.46197   57.09172   87.80109  128.07868  179.89965  245.59038
  327.84557  429.76528  554.89861  707.29241  891.54437 1112.86078"
"   4.60842    4.6176     4.65171    4.7209     4.83935    5.0167
    5.25527    5.55468    5.9159     6.34454    6.85809    7.48863
    8.2231     9.03719    9.92268   10.87379   11.88412   12.94591
   14.04998   15.18597   16.34321   17.51241   18.68618   19.85358
   20.9964    22.09289   23.12123   24.06132   24.89692   25.61926
   26.23046   26.73819   27.14004   27.41917   27.55302   27.52015
   27.30333   26.892     26.28637   25.50497   24.595     23.65771
   22.75915   21.86521   21.0282    20.28748   19.65604   19.46093
