"1.000000e+00 1.176770e+00 1.664220e+00 2.229200e+00 2.817320e+00
 3.410570e+00 4.001840e+00 4.590790e+00 5.165470e+00 5.739810e+00
 6.307370e+00 6.874310e+00 7.425610e+00 7.972130e+00 8.506190e+00
 9.052860e+00 9.571170e+00 1.008512e+01 1.041826e+01 1.114788e+01
   15.4919    15.24336   17.87135   14.78003   35.41608 1100.
 1100.      1100.      1100.      1100.     "
" 915.71619 1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.        94.1995    13.64709   13.67739
   14.09649   14.56736   16.23443   14.86699   14.80252   14.92332
   15.4565    15.06802   18.81666   15.02863   43.28361 1100.
 1100.      1100.      1100.      1100.     "
" 762.72334 1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.       309.97449   13.98261   13.80152
   14.24887   14.57491   16.90504   15.46637   14.65988   14.79957
   15.44121   14.88337   20.15727   15.54182   57.11183 1100.
 1100.      1100.       309.54786 1100.     "
" 672.10959 1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.       934.74712   21.62279   13.95076
   14.43131   14.63067   17.741     16.5188    14.51303   14.67571
   15.45175   14.69137   21.94056   15.59101   82.2392  1100.
   95.30216 1100.      1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.        71.94007   13.98506
   14.61299   14.71402   18.76809   18.21607   14.48663   14.55754
   15.49479   14.49709   24.25417   15.06067  129.13118 1100.
 1100.      1100.      1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.       239.37629   14.23086
   14.83692   14.78325   20.04145   20.82445   14.87453   14.4396
   15.58522   14.31203   27.25608   23.0285   218.79257 1100.
 1100.      1100.      1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.       706.98616   14.60618
   15.06777   14.83484   21.67057   24.70437   16.11667   14.27814
   15.74137   14.12319   31.20358   50.42338  393.51675 1100.
 1100.      1100.      1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.        18.82098
   15.27281   14.86049   23.82091   30.3781    18.82134   14.02947
   15.97413   13.93418   36.42036  102.1558   741.12526 1100.
 1100.      1100.      1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.        52.35873
   15.55226   14.87163   26.69538   38.61751   23.80354   13.77913
   16.29563   13.75362   43.42532  194.11309 1100.      1100.
 1100.      1100.      1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.       153.64664
   15.76652   14.81848   30.63246   50.59048   32.15176   14.30439
   16.72783   13.59511   53.04543  350.15244 1100.      1100.
 1100.      1100.      1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.       399.39655
   15.87038   14.64928   36.14549   68.05505   45.54829   16.94838
   17.28335   13.47066   66.61019  604.36272 1100.      1100.
 1100.      1100.      1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.       931.2918
   16.16268   14.31599   44.07198   93.74513   66.58739   23.12081
   17.92737   13.37176   86.32336 1100.      1100.      1100.
 1100.      1100.      1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
   16.96035   13.86313   55.78554  131.93695   99.31842   34.84262
   18.67915   13.42721  115.87902 1100.      1100.      1100.
 1100.      1100.      1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
   17.34173   13.51522   73.54376  189.39075  150.10349   55.40632
   20.30305   13.64693  161.54891 1100.      1100.      1100.
 1100.      1100.      1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
   20.84834   13.81688  101.1397   276.96163  228.91572   90.07842
   24.98834   14.02718  233.84233 1100.      1100.      1100.
 1100.      1100.      1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
   36.68305   15.82237  145.0593   412.12434  351.48231  147.33043
   35.71901   14.33525  351.04381 1100.      1100.      1100.
 1100.      1100.      1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
   68.21121   20.12716  216.63936  623.22693  542.62201  240.6419
   56.69722   14.04482  545.37597 1100.      1100.      1100.
 1100.      1100.      1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
  117.36328   26.78089  336.04041  956.75094  841.52008  391.30788
   94.58261   13.69011  874.93208 1100.      1100.      1100.
 1100.      1100.      1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
  182.32127   35.62435  539.6526  1100.      1100.       632.95752
  160.22623   20.14147 1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
  255.28883   47.20901  894.37914 1100.      1100.      1100.
  271.12055   40.11341 1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
  321.46569   61.77615 1100.      1100.      1100.      1100.
  455.09982   75.88726 1100.      1100.      1100.        87.58439
 1100.      1100.      1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
  361.65895   80.61029 1100.      1100.      1100.      1100.
  756.04772  135.98209 1100.      1100.      1100.      1100.
