"  1.        3.61832   6.93125  10.33886  13.81984  17.37633  21.01646
  24.74793  28.57505  32.49719  36.50804  40.59561  44.74264  48.92755
  53.12526  57.30799  61.44535  65.50402  69.44737  73.23567  76.82758
  80.18285  83.26689  86.0593   88.57224  90.89982  93.39032  96.75573
 100.89006 105.54635 110.87286 117.32092 125.61793 136.50032 150.31084
 167.04313 186.64091 209.12059 234.56589 263.10397 294.89056"
"  2.95634   3.90712   6.85282  10.17851  13.64435  17.21446  20.88244
  24.64765  28.50831  32.45907  36.49006  40.5869   44.73113  48.90103
  53.07243  57.21919  61.31285  65.32146  69.2086   72.93374  76.45412
  79.72773  82.71759  85.39937  87.77738  89.92726  92.18675  95.66548
 100.02745 104.91861 110.52943 117.33865 126.0594  137.35867 151.52653
 168.56147 188.42852 211.15759 236.83857 265.6014  297.60337"
"  5.7811    6.02369   7.72277  10.62604  13.92872  17.4238   21.05727
  24.80759  28.66138  32.60596  36.6267   40.70616  44.82424  48.95878
  53.08634  57.18266  61.22177  65.17337  69.00075  72.66176  76.1117
  79.3067   82.2077   84.7873   87.04341  89.034    91.02117  94.64851
  99.2385  104.36289 110.26037 117.43141 126.56746 138.26888 152.78259
 170.11351 190.24549 213.22041 239.13381 268.11836 300.33291"
"  8.65261   8.69628   9.71142  11.79146  14.71357  18.02155  21.54751
  25.22895  29.03295  32.93587  36.91636  40.9528   45.02253  49.10218
  53.16849  57.19922  61.17206  65.0595   68.82406  72.42068  75.802
  78.92228  81.74101  84.22911  86.38162  88.24995  90.08913  93.76753
  98.54203 103.88853 110.07086 117.60122 127.14212 139.23083 154.07916
 171.69929 192.09165 215.30869 241.45115 270.65433 303.0786 "
" 11.52612  11.5599   12.03282  13.63821  16.02032  19.01215  22.34946
  25.90514  29.6162   33.4431   37.35523  41.32516  45.32649  49.33354
  53.32215  57.27148  61.16449  64.97972  68.67871  72.21126  75.52634
  78.57637  81.32016  83.72872  85.79846  87.58803  89.40951  93.0592
  97.95256 103.50335 109.96522 117.84955 127.78318 140.24433 155.4163
 173.31882 193.96684 217.42211 243.79017 273.20882 305.83992"
" 14.39262  14.42538  14.6015   15.78645  17.75617  20.36668  23.44463
  26.82148  30.39942  34.11889  37.93744  41.82021  45.7359   49.65536
  53.55213  57.40482  61.20159  64.93411  68.56492  72.0342   75.28572
  78.27024  80.94672  83.28795  85.29554  87.04445  88.89903  92.51571
  97.47787 103.21303 109.94671 118.17729 128.49031 141.30915 156.79404
 174.97206 195.87084 219.56034 246.15044 275.78135 308.61633"
" 17.25021  17.28158  17.41441  18.09911  19.74825  22.01289  24.79813
  27.95622  31.36741  34.9524   38.65562  42.43365  46.24934  50.06928
  53.86352  57.60765  61.28997  64.92319  68.48315  71.89031  75.08101
  78.00469  80.62128  82.90686  84.87082  86.60759  88.51551  92.11355
  97.11912 103.02091 110.01742 118.58474 129.26295 142.42498 158.2123
 176.65893 197.80345 221.72304 248.53156 278.37146 311.40734"
" 20.09914  20.1283   20.24249  20.58968  21.90045  23.86818  26.3652
  29.28329  32.50315  35.93188  39.50167  43.16025  46.86419  50.57535
  54.25982  57.88892  61.44477  64.94879  68.43484  71.78085  74.91311
  77.78022  80.34378  82.58422  84.52012  86.26469  88.23526  91.83154
  96.87291 102.92814 110.17833 119.07165 130.10035 143.59143 159.67096
 178.3793  199.76444 223.90988 250.93312 280.9787  314.21247"
" 22.94056  22.96683  23.06484  23.2892   24.18805  25.87642  28.10331
  30.77623  33.78954  37.04564  40.46742  43.99443  47.57695  51.17209
  54.74194  58.25379  61.68356  65.03346  68.42458  71.70819  74.78323
  77.59719  80.11369  82.31804  84.23841  86.00447  88.04314  91.65363
  96.73345 102.93399 110.42929 119.6372  131.00159 144.80799 161.16983
 180.133   201.75355 226.12054 253.35475 283.60264 317.03125"
" 25.776    25.79888  25.8816   26.05969  26.61903  28.01092  29.9807
  32.41168  35.21082  38.28281  41.54514  44.93061  48.38371  51.85691
  55.30859  58.7026   62.01074  65.22541  68.4651   71.67666  74.69318
  77.45608  79.93028  82.106    84.02064  85.81763  87.92877  91.56795
  96.69421 103.0364  110.76926 120.2801  131.96557 146.07412 162.70863
 181.9198  203.77051 228.35468 255.79605 286.24287 319.86325"
" 28.60716  28.6263   28.69426  28.83815  29.20154  30.26384  31.97765
  34.17134  36.75347  39.63377  42.72786  45.96363  49.28052  52.62677
  55.95726  59.2329   62.42255  65.51242  68.57723  71.6933   74.64577
  77.3577   79.79291  81.94579  83.86213  85.69677  87.88482  91.56566
  96.74878 103.23239 111.19638 120.99866 132.99102 147.38914 164.28706
 183.73944 205.81503 230.61197 258.25665 288.89898 322.70803"
" 31.43583  31.45098  31.50458  31.61853  31.88174  32.63655  34.0839
  36.04221  38.40663  41.09036  44.00949  47.08883  50.26371  53.47855
  56.68503  59.84143  62.91408  65.88444  68.78412  71.76735  74.64499
  77.30343  79.70118  81.83534  83.75887  85.63608  87.90617  91.64004
  96.89129 103.51844 111.70823 121.79087 134.07658 148.75236 165.90472
 185.59164 207.8868  232.89205 260.73618 291.57057 325.56517"
" 34.26383  34.27484  34.31439  34.40074  34.59859  35.12594  36.29517
  38.0158   40.162    42.64593  45.38491  48.3022   51.32998  54.40933
  57.48904  60.52492  63.48098  66.33471  69.09727  71.90849  74.69588
  77.29533  79.65517  81.77301  83.70755  85.63104  87.98943  91.78597
  97.11652 103.89075 112.30197 122.65447 135.22077 150.16297 167.56117
 187.47605 209.98548 235.19458 263.23428 294.25726 328.43427"
" 37.09301  37.09975  37.12556  37.18589  37.33175  37.70752  38.60903
