"1.00000000e+00 1.20900000e+00 1.66923000e+00 2.24777000e+00
 2.82339000e+00 3.41098000e+00 4.01101000e+00 4.58901000e+00
 5.17556000e+00 5.75377000e+00 6.33389000e+00 6.88198000e+00
 7.42466000e+00 7.96649000e+00 8.49088000e+00 9.03163000e+00
 9.56689000e+00 1.00832400e+01 1.04358600e+01 1.11141700e+01
 1.16285500e+01 1.21377700e+01 1.25802300e+01 1.30994700e+01
 1.35744100e+01 1.41119800e+01 1.46307100e+01 1.50829700e+01
 1.54766200e+01 1.60529000e+01 1.64903700e+01 1.70028200e+01
 1.73769800e+01 1.78889500e+01 1.83105800e+01 1.90649400e+01
 2.05383400e+01 1.53932445e+08 2.47795339e+12 3.12910882e+15"
"1.02828000e+00 1.21476000e+00 1.66954000e+00 2.24001000e+00
 2.80573000e+00 3.38214000e+00 3.97070000e+00 4.54092000e+00
 5.11743000e+00 5.68162000e+00 6.25064000e+00 6.78102000e+00
 7.29793000e+00 7.80049000e+00 8.27774000e+00 8.73897000e+00
 9.12671000e+00 9.23888000e+00 1.23098900e+01 1.23025500e+01
 1.21529500e+01 1.24679600e+01 1.28146900e+01 1.32741200e+01
 1.37088800e+01 1.42155300e+01 1.47108500e+01 1.51295300e+01
 1.54730400e+01 1.59755900e+01 1.62832600e+01 1.58807200e+01
 1.83689100e+01 1.84133900e+01 1.87560700e+01 1.96594700e+01
 2.07004300e+01 1.53374381e+08 2.48003356e+12 3.13570059e+15"
"1.09103000e+00 1.24160000e+00 1.68880000e+00 2.24777000e+00
 2.80212000e+00 3.36409000e+00 3.93799000e+00 4.50164000e+00
 5.06816000e+00 5.61525000e+00 6.17717000e+00 6.69448000e+00
 7.18640000e+00 7.65185000e+00 8.08881000e+00 8.47207000e+00
 8.73034000e+00 8.48767000e+00 1.63666000e+01 1.41718900e+01
 1.27792100e+01 1.28367600e+01 1.30770400e+01 1.34609400e+01
 1.38528900e+01 1.43274400e+01 1.47992300e+01 1.51863600e+01
 1.54813100e+01 1.59171100e+01 1.61112700e+01 1.54430200e+01
 1.95439200e+01 1.89752900e+01 1.92460400e+01 2.03902300e+01
 2.10328500e+01 1.49683972e+08 2.45248074e+12 3.11561288e+15"
"1.17268000e+00 1.31128000e+00 1.72804000e+00 2.26837000e+00
 2.81298000e+00 3.35743000e+00 3.91161000e+00 4.47211000e+00
 5.02649000e+00 5.55270000e+00 6.11197000e+00 6.61850000e+00
 7.08753000e+00 7.52650000e+00 7.92304000e+00 8.23959000e+00
 8.37832000e+00 7.81584000e+00 2.32196500e+01 1.75784700e+01
 1.35474200e+01 1.32554500e+01 1.33750300e+01 1.36611400e+01
 1.40087500e+01 1.44489200e+01 1.48953500e+01 1.52540500e+01
 1.55013000e+01 1.58773600e+01 1.59705200e+01 1.59703600e+01
 2.10591400e+01 1.95829800e+01 1.98161800e+01 2.12952900e+01
 2.15965000e+01 1.43132005e+08 2.39676796e+12 3.06978402e+15"
"1.25930000e+00 1.42409000e+00 1.78590000e+00 2.30033000e+00
 2.83916000e+00 3.36506000e+00 3.89298000e+00 4.45260000e+00
 4.99226000e+00 5.49499000e+00 6.05294000e+00 6.54684000e+00
 6.99774000e+00 7.42046000e+00 7.77992000e+00 8.04658000e+00
 8.08656000e+00 8.65335000e+00 3.45008900e+01 2.39555800e+01
 1.45037700e+01 1.37364200e+01 1.37131500e+01 1.38768100e+01
