"  1.        1.21213   1.67823   2.24018   2.85864   3.51445   4.17525
   4.79994   5.3531    5.86784   6.41896   6.93757   7.46057   8.00074
   8.50018   9.0643    9.66326  10.19232  10.70659  11.40524  11.94527
  12.28516  12.61789  12.98616  13.53523  14.41443  15.17148  15.62785
  15.83287  15.93775  15.99612  16.47524  17.92248  19.39122  19.22676
  17.8742   28.09569  57.48529 104.77452 176.76025"
"  1.05349   1.2532    1.69994   2.25014   2.85635   3.49511   4.1365
   4.74192   5.27663   5.77357   6.30623   6.81192   7.34414   7.89084
   8.40178   9.01314   9.63705  10.21508  10.82589  11.58728  12.13462
  12.49403  12.84146  13.19359  13.69998  14.51173  15.21122  15.61948
  15.81428  15.94705  16.06401  16.73067  18.28547  19.78192  19.58952
  18.11642  28.26399  57.94691 105.65939 178.23575"
"  1.13761   1.32517   1.74463   2.27704   2.86757   3.48762   4.10855
   4.69368   5.20905   5.6888    6.20375   6.70009   7.24381   7.79768
   8.32369   8.98598   9.63949  10.27246  11.00464  11.78873  12.34343
  12.72195  13.07945  13.41276  13.8744   14.61796  15.25988  15.62223
  15.80976  15.9728   16.1541   17.00125  18.65715  20.18132  19.96573
  18.37071  28.39136  58.34725 106.45963 179.59833"
"  1.24719   1.42176   1.81139   2.32024   2.89157   3.49123   4.09071
   4.6546    5.14983   5.61305   6.11113   6.60326   7.15962   7.72164
   8.26816   8.98372   9.6725   10.36923  11.2144   12.00996  12.57215
  12.96887  13.33213  13.64426  14.05907  14.73359  15.31763  15.63774
  15.81865  16.01423  16.26772  17.28532  19.03642  20.58918  20.3554
  18.63833  28.47745  58.6858  107.17461 180.8472 "
"  1.37654   1.53688   1.89814   2.37899   2.92766   3.50527   4.08233
   4.6241    5.09844   5.54593   6.02819   6.52257   7.09169   7.6633
   8.23998   9.00756   9.73832  10.51355  11.44726  12.25142  12.82126
  13.2348   13.59986  13.88859  14.25458  14.85913  15.3847   15.66799
  15.84026  16.07054  16.40515  17.58112  19.42239  21.00526  20.7585
  18.92047  28.52208  58.96217 107.80381 181.98169"
