"  1.        1.0065    1.02018   1.04088   1.0684    1.10239   1.14244
   1.18797   1.23836   1.29297   1.3512    1.41251   1.47645   1.54262
   1.61073   1.68053   1.75185   1.82454   1.89849   1.97365   2.04994
   2.12734   2.20582   2.28534   2.36588   2.44741   2.5299    2.61331
   2.6976    2.78272   2.8686    2.95519   3.04242   3.13021   3.21849
   3.30717   3.39619   3.48544   3.57483   3.66428   3.75368   3.84294
   3.93194   4.02059   4.10878   4.1964    4.28334   4.36951   4.4548
   4.53911   4.62235   4.70443   4.78526   4.86476   4.94287   5.01953
   5.09469   5.16835   5.24052   5.31124   5.38067   5.44902   5.51669
   5.5842    5.65222   5.7213    5.79175   5.86354   5.93643   6.01011
   6.08425   6.15854   6.23273   6.30658   6.37991   6.45254   6.52434
   6.59522   6.66511   6.73401   6.80197   6.86914   6.93579   7.00233
   7.06926   7.13709   7.20609   7.2763    7.34753   7.41949   7.49187
   7.56442   7.63689   7.70908   7.78083   7.85198   7.9224    7.99202
   8.06079   8.12866   8.19558   8.26158   8.32676   8.39121   8.45506
   8.51867   8.58245   8.64709   8.71398   8.78664   8.87234   8.96338
   9.05349   9.1417    9.22775   9.31153   9.39302   9.47228   9.54946
   9.62482   9.69874   9.77165   9.84395   9.91591   9.9876   10.05897
  10.12991  10.20029  10.27004  10.33919  10.40791  10.47648  10.5454
  10.61545  10.68794  10.76513  10.85106  10.94852  11.05072  11.15186
  11.25008  11.34465  11.4352   11.52148  11.60335  11.68071  11.75351
  11.82176  11.88551  11.94491  12.00015  12.05155  12.09951  12.14453
  12.18726  12.22838  12.26865  12.30878  12.34939  12.39089  12.43354
  12.47736  12.52228  12.56812  12.61463  12.66162  12.70891  12.75641
  12.80397  12.85154  12.89999  12.95074  13.00286  13.05686  13.11631
  13.18063  13.25029  13.32756  13.41445  13.51141  13.61682  13.72842
  13.84457  13.96413  14.08604  14.20905  14.33176  14.4527   14.57053
  14.68418  14.79282  14.89589  14.99306  15.08417  15.16925  15.24844
  15.32198  15.39028  15.45395  15.51336  15.56816  15.61791  15.66244
  15.70192  15.73676  15.76755  15.79475  15.81847  15.83862  15.85613
  15.87251  15.88681  15.90126  15.91579  15.9294   15.94282  15.95674
  15.97152  15.98699  16.00227  16.0158   16.02563  16.02985  16.02702
  16.01674  16.00087  15.98678  15.99232  16.03703  16.128    16.25607
  16.40137  16.55879  16.7235   16.89534  17.07619  17.26859  17.47473
  17.69485  17.92576  18.16149  18.39548  18.62195  18.83592  19.03276
  19.20795  19.35714  19.47633  19.56198  19.61106  19.62112  19.59044
  19.51862  19.40493  19.24891  19.05477  18.83491  18.62347  18.41738
  18.22137  18.04546  17.92161  17.92167  18.11708  18.52692  19.35648
  20.84186  23.03804  25.63585  28.50704  31.63073  35.00616  38.63923
  42.53905  46.71664  51.18398  55.95345  61.03804  66.45157  72.2087
  78.32481  84.81599  91.69904  98.99141 106.71129 114.87758 123.50996
 132.62887 142.25553 152.41186 163.12046 174.40449 186.28773 198.79461
 211.95032 225.78086 240.31306 255.57466 271.59428 288.40147"
"  1.01095   1.01743   1.03094   1.05131   1.07834   1.11175   1.15114
   1.19597   1.24567   1.29962   1.35723   1.41796   1.48135   1.54703
   1.61469   1.68407   1.75499   1.82731   1.90092   1.97574   2.05171
   2.12879   2.20695   2.28614   2.36635   2.44753   2.52964   2.61266
   2.69652   2.78118   2.86658   2.95265   3.03934   3.12656   3.21425
   3.30232   3.39071   3.47931   3.56805   3.65683   3.74556   3.83413
   3.92245   4.01042   4.09792   4.18486   4.27112   4.35661   4.44122
   4.52486   4.60743   4.68883   4.769     4.84784   4.92529   5.00129
   5.07581   5.14882   5.22034   5.29043   5.35922   5.42694   5.49397
   5.56084   5.62822   5.69665   5.76644   5.83757   5.9098    5.98281
   6.05627   6.12989   6.2034    6.27658   6.34924   6.42121   6.49237
   6.56262   6.63192   6.70027   6.76775   6.83454   6.90095   6.96743
   7.03451   7.10264   7.17205   7.24267   7.31429   7.38659   7.45928
   7.53209   7.60479   7.67721   7.74917   7.82052   7.89115   7.96099
   8.03      8.09812   8.16532   8.23165   8.29721   8.36211   8.4265
   8.49079   8.5554    8.62121   8.68981   8.76594   8.8551    8.94713
   9.03791   9.12676   9.21347   9.29796   9.38023   9.46035   9.53851
   9.615     9.69021   9.76457   9.83847   9.91212   9.98557  10.05875
  10.13152  10.2038   10.27554  10.34684  10.41791  10.48912  10.56107
  10.63476  10.71187  10.79532  10.88928  10.99193  11.09592  11.19784
  11.29652  11.39144  11.48226  11.56879  11.65089  11.72847  11.8015
  11.86999  11.93402  11.99374  12.04937  12.10122  12.14971  12.19538
  12.23884  12.28081  12.322    12.3631   12.40465  12.44705  12.49047
  12.53493  12.58031  12.62644  12.67308  12.72002  12.76712  12.81427
  12.86134  12.90829  12.95599  13.00587  13.05701  13.10986  13.16798
  13.23098  13.29921  13.37489  13.45999  13.55492  13.65808  13.76729
  13.88096  13.99801  14.1174   14.23794  14.35826  14.47689  14.59251
  14.70402  14.81057  14.91161  15.00677  15.09592  15.17905  15.25631
  15.32794  15.39435  15.45618  15.51386  15.56705  15.6153   15.6585
  15.69688  15.73095  15.76129  15.78827  15.81187  15.83198  15.84965
  15.86611  15.88065  15.8959   15.91126  15.92593  15.94074  15.95635
  15.97308  15.99066  16.00807  16.02365  16.0354   16.04143  16.04046
  16.03241  16.01984  16.01165  16.02656  16.08116  16.18171  16.31531
  16.46551  16.62726  16.79588  16.97173  17.15681  17.35359  17.56404
  17.78805  18.02214  18.26028  18.49607  18.72386  18.93877  19.13622
  19.31171  19.46091  19.57985  19.66501  19.71339  19.72252  19.69071
  19.61767  19.50251  19.34461  19.14815  18.92549  18.71066  18.50092
  18.30078  18.11971  17.98881  17.9784   18.16444  18.56473  19.38681
  20.87261  23.07221  25.67725  28.55683  31.68956  35.07457  38.71776
  42.62824  46.81709  51.29634  56.07833  61.17603  66.6033   72.37482
  78.50599  85.01295  91.91249  99.22212 106.96005 115.14522 123.79733
 132.93685 142.58503 152.76384 163.49587 174.80433 186.71301 199.24636
 212.42962 226.28879 240.85078 256.14333 272.19511 289.03572"
"  1.02435   1.03083   1.04418   1.06426   1.09085   1.12368   1.16237
   1.20645   1.25536   1.30854   1.3654    1.42543   1.48818   1.55326
   1.62037   1.68925   1.7597    1.83159   1.90478   1.97922   2.05482
   2.13153   2.20933   2.28816   2.36799   2.44878   2.5305    2.61308
   2.69649   2.78067   2.86556   2.9511    3.03723   3.12386   3.21095
   3.29839   3.38613   3.47408   3.56215   3.65025   3.73829   3.82618
   3.91381   4.00108   4.08789   4.17413   4.2597    4.34449   4.42842
   4.51137   4.59325   4.67398   4.75347   4.83164   4.90842   4.98376
   5.05762   5.12998   5.20085   5.27029   5.33843   5.40551   5.4719
   5.53814   5.60488   5.67268   5.74183   5.8123    5.88387   5.95622
   6.02902   6.10197   6.17481   6.24732   6.31932   6.39063   6.46115
   6.53079   6.59951   6.66733   6.73436   6.80081   6.86704   6.93353
   7.00082   7.06931   7.13914   7.21019   7.28219   7.35483   7.42782
   7.5009    7.57385   7.64649   7.71866   7.79023   7.86107   7.93114
   8.00039   8.06878   8.13628   8.20296   8.26893   8.3343    8.39928
   8.46431   8.52984   8.59694   8.66756   8.74786   8.83965   8.93255
   9.024     9.11351   9.20091   9.28614   9.36922   9.45025   9.52944
   9.60711   9.68366   9.75954   9.83508   9.91047   9.98572  10.06073
  10.13539  10.20962  10.28345  10.357    10.43056  10.50459  10.57986
  10.65762  10.74003  10.83066  10.93172  11.03754  11.14272  11.24527
  11.34437  11.4396   11.53069  11.61746  11.69978  11.77758  11.85084
  11.91958  11.9839   12.04394  12.09995  12.15226  12.2013   12.24762
  12.29183  12.33464  12.37674  12.41877  12.46124  12.50448  12.54862
  12.59366  12.63947  12.68584  12.73256  12.77942  12.82628  12.87306
  12.91961  12.9659   13.01283  13.06182  13.11197  13.16365  13.22041
  13.28208  13.34885  13.42291  13.50621  13.5991   13.70001  13.80682
  13.91801  14.03252  14.14939  14.26746  14.38538  14.5017   14.6151
  14.72446  14.82893  14.92793  15.0211   15.10828  15.18948  15.26481
  15.33453  15.39906  15.45905  15.51502  15.56662  15.6134   15.65532
  15.69269  15.72608  15.75607  15.78287  15.80635  15.82641  15.84422
  15.86073  15.87554  15.89162  15.90781  15.92358  15.93982  15.95717
  15.97587  15.99557  16.01512  16.03274  16.0464   16.05428  16.05524
  16.04958  16.04067  16.03892  16.06334  16.12765  16.23688  16.37577
  16.531    16.69688  16.86936  17.0492   17.23849  17.43959  17.65425
  17.88204  18.1192   18.35968  18.59722  18.82632  19.04217  19.24023
  19.41604  19.56529  19.68402  19.76873  19.81645  19.8247   19.79182
  19.71761  19.60102  19.44128  19.24253  19.01705  18.7988   18.58538
  18.38108  18.19484  18.05683  18.03577  18.21216  18.60255  19.41622
  20.9016   23.10399  25.71593  28.60369  31.74526  35.13967  38.79277
  42.71372  46.91365  51.40461  56.19891  61.30953  66.75033  72.53602
  78.68204  85.20454  92.12035  99.44701 107.20275 115.40654 124.07811
 133.23798 142.90742 153.10842 163.86361 175.1962  187.13    199.68952
 212.9     226.7875  241.37892 256.70208 272.78568 289.65932"
"  1.0401    1.04657   1.0598    1.07961   1.1058    1.13807   1.17606
   1.21933   1.26739   1.31968   1.3757    1.43492   1.49692   1.56131
   1.62777   1.69606   1.76598   1.83736   1.91009   1.98408   2.05925
   2.13556   2.21295   2.29138   2.3708    2.45117   2.53244   2.61457
   2.6975    2.78118   2.86554   2.95052   3.03607   3.1221    3.20856
   3.29537   3.38245   3.46973   3.55712   3.64453   3.73188   3.81906
   3.90599   3.99255   4.07865   4.16419   4.24906   4.33315   4.41638
   4.49863   4.57982   4.65986   4.73866   4.81615   4.89226   4.96692
   5.04011   5.11181   5.18201   5.2508    5.31829   5.38473   5.45048
