"1.00000000e+00 1.00295000e+00 1.00825000e+00 1.01587000e+00
 1.02579000e+00 1.03797000e+00 1.05238000e+00 1.06895000e+00
 1.08763000e+00 1.10835000e+00 1.13101000e+00 1.15550000e+00
 1.18173000e+00 1.20957000e+00 1.23889000e+00 1.26959000e+00
 1.30154000e+00 1.33465000e+00 1.36880000e+00 1.40390000e+00
 1.43987000e+00 1.47664000e+00 1.51413000e+00 1.55229000e+00
 1.59106000e+00 1.63039000e+00 1.67025000e+00 1.71061000e+00
 1.75142000e+00 1.79267000e+00 1.83434000e+00 1.87640000e+00
 1.91885000e+00 1.96167000e+00 2.00485000e+00 2.04838000e+00
 2.09226000e+00 2.13647000e+00 2.18102000e+00 2.22589000e+00
 2.27109000e+00 2.31660000e+00 2.36243000e+00 2.40856000e+00
 2.45500000e+00 2.50173000e+00 2.54875000e+00 2.59605000e+00
 2.64362000e+00 2.69146000e+00 2.73956000e+00 2.78790000e+00
 2.83648000e+00 2.88528000e+00 2.93429000e+00 2.98351000e+00
 3.03291000e+00 3.08249000e+00 3.13223000e+00 3.18212000e+00
 3.23214000e+00 3.28228000e+00 3.33253000e+00 3.38286000e+00
 3.43326000e+00 3.48373000e+00 3.53423000e+00 3.58475000e+00
 3.63529000e+00 3.68581000e+00 3.73630000e+00 3.78674000e+00
 3.83712000e+00 3.88741000e+00 3.93759000e+00 3.98766000e+00
 4.03758000e+00 4.08734000e+00 4.13692000e+00 4.18630000e+00
 4.23546000e+00 4.28438000e+00 4.33305000e+00 4.38144000e+00
 4.42954000e+00 4.47733000e+00 4.52479000e+00 4.57190000e+00
 4.61865000e+00 4.66502000e+00 4.71100000e+00 4.75657000e+00
 4.80172000e+00 4.84644000e+00 4.89071000e+00 4.93452000e+00
 4.97786000e+00 5.02073000e+00 5.06312000e+00 5.10503000e+00
 5.14646000e+00 5.18741000e+00 5.22789000e+00 5.26791000e+00
 5.30751000e+00 5.34670000e+00 5.38554000e+00 5.42409000e+00
 5.46242000e+00 5.50062000e+00 5.53881000e+00 5.57710000e+00
 5.61563000e+00 5.65450000e+00 5.69380000e+00 5.73356000e+00
 5.77380000e+00 5.81449000e+00 5.85559000e+00 5.89705000e+00
 5.93880000e+00 5.98078000e+00 6.02294000e+00 6.06521000e+00
 6.10754000e+00 6.14989000e+00 6.19220000e+00 6.23443000e+00
 6.27655000e+00 6.31852000e+00 6.36031000e+00 6.40188000e+00
 6.44323000e+00 6.48431000e+00 6.52512000e+00 6.56564000e+00
 6.60586000e+00 6.64578000e+00 6.68539000e+00 6.72471000e+00
 6.76374000e+00 6.80252000e+00 6.84109000e+00 6.87950000e+00
